input_name,correct_name
Seasoning Pork Dry Rub Allen Oliver Group,Topping Dessert Whipped
Mustard Grey Poupon Grey Poupon,Biscuits
,Cheese Cake Plain 9in
Onion Yellow Jumbo Markon Essentials,Ice Cream
,PANTRY
,Parsley Flakes
,Cumin Ground
Savaday,Garlic Granulated
Sauce Tartar European Girard's,Paprika
QUART,Pepper Cayenne Ground
Mushroom Sliced Tu Packer,Chili Powder Light
CT,White Pepper
LBCTN,Yard Bird Seasoning
Cut Super Lopez,Tony's Creole Seasoning
Cheese American Loaf White Golden Harvest,Montreal Steak Seasoning
AL,Celery Salt
Butter Solid Salted Golden Harvest,Oregano
Gt Golden Harvest,Old Bay
Cheese American Sliced White Schreiber,Cinnamon Ground
GAL,Crushed Red Pepper
Egg Fresh Shell X Usda Aa Ellington Farms,Fajita Seasoning
Lakes,Bay Leaves
Country Brand Bacon,Basil Dry
Okra Cut Lightly Breaded Stiwel,Star Anese
Sausage Chub Breakfast Mild Kelley Foods Manufacturing,Seasoning Blackened Red Fish
Blueberry lof Markon First Crop,Seasoning Salt
Beef Fries Breaded lof Osteen,Coleman's Mustard
TEQUILA Clasa Azul Anejo x,Charlstons Pork Seasoning
Clasa Azul Reposado x,Breading Seasoned Fish Fry
LL WS Te eT ay,Black Pepper Ground
EACH ee ee es ee eee en ee,Starch Corn
EL aes,"Salt Iodized, Bulk"
f TEMPERATURES,Cracker Saltine Zesta
GENERAL RESULT,Dressing Mix Ranch
,Honey Pure
CHEMICAL DISP,Mustard Gray Poupon
,Pan Spray Aerosol
oo Units g,Rice Long Grain & Wild
t,Rice Par Boiled
TEMP FUEL SERVICE CHARGE EACH Pepsi-Cola UC,Cereal Grits Quick
RpcaiRe Totat wi,Strawberry Topping
,Cereal Oatmeal Old Fashioned
Tee,Sauce Worcestershire
Checked noo EF,Vinegar Balsamic Gold
f GENERAL,Vinegar Red Win
ELE,Vinegar White Wine
,Beans Red
INSE A GAL eT EET,Bean Pinto Triple Clean Dried
,Soy Sauce
,Sauce Steak A1
ie Pepsi-Cola Sales Total,Hershey's syrup
vemPeRATURES,Thickener Pectin Gelatin
GENERAL RESULTS,Salt Kosher Box
,Pie Filling
SPRAY ARMS,Oil Olive
WATER LINE,Sauce BBQ Regular
g,Liquid Smoke Hickory
Rental and Tax PRE-BILLED,Sauce Red Hot Plasic Jug
,Cornbread Mix
CT LOVE NITRILE BLACK XL PF,Powdered Sugar
LOW TEMP MACH DETG x GAL,Brown Sugar
SOLUTION CL GAL,Tomato Diced Petite
,Beans Black
TOTAL,Bean Green Cut Blue
,Corn Cream Style Fancy
,Jalapeno Slices
,Apple Cider Vinegar
,Pepper Chipotle
,Flour Hotel & Restaurant
,Kitchen Bouquet
#NAME?,Green Chilis
,Baking Powder
,Topping designer Caramel
ROYAL Taxable,Topping designer Raspberry
