name,price,quantity
CT LOVE NITRILE BLACK XL PF,31.88,63
LOW TEMP MACH DETG x GAL,19.08,10
SOLUTION CL GAL,57.84,5
,2.0,948
TOTAL,636.37,1
-,30.0,5
-,30.0,6
-,30.0,20
-,30.0,5
Taxable,6.0,6
- Taxable,6.0,5
- Taxable,1.0,1
Taxable,2.0,2
Taxable,5.0,5
ROYAL Taxable,6.0,6
T,57.95,67
I,20.36,20
BRTATO WED patos IT,19.34,77
Taxable,2.0,2
,190.8,270
,71.9,2
,68.75,944
ENVIRO SERVICE CHARGE EACH -,89.95,1
i,1.89,133
LOW TEMP REC DETG X GAL Credit,19.03,5
Full,0.0,217
Amour ue,971.0,794
,0.0,784
Charges,0.0,944
Amour i,428.95,270
,79.5,121
,521.28,106
Tr,109.75,5
TOBY KEITH'S BAR B Invoice Total,639.59,777
Single Units,0.0,413
-,51.0,1
Local Charges,0.0,9
-,30.0,5
-,50.0,5
FL,12.38,5
soLuTON GL GAL SALES SUMMARY,7.84,5
Cases,6356.35,13
,521.95,109
,521.28,106
,70.96,7
JUMBO,19.18,5
SOLUTION CL GAL ales,7.84,10
Toe ri i,325.9,427
G Credits,71.1,1
Full Cases,0.0,44
ES ae Pepsi-Cola Sales Total,529.35,75
,521.28,106
,521.95,100
'S BAR mmo Invoice Total,582.94,777
les Total,544.8,188
LB Cl )ROCCOLI FLORET ICELESS,27.29,27
x Taxable,6.0,6
Taxable,4.0,4
Qy Amount,131.5,462
Total Units,131.5,482
Suite,7.84,5
SPECIAL GAL,14.95,10
,51.0,448
Sher,71.9,2
M - TT,68.75,1
ENVIRO SERVICE CHARGE EACH SALES,9.95,1
achine Charges,926.0,30
-,30.0,5
,521.28,106
,58.96,32
TX Whiskey,35.19,0
Eagle Rare x,28.39,0
Crown,29.99,4
Myer's Mark x,22.39,0
Hennessey VS,44.49,0
Disaronno,38.39,0
Sutter Homes Cabernet,5.25,10
Redbull,1.63,24
Cherries,14.51,1
LB SAOSAGE CAOB BREAKFAST MIL,36.63,79
ANGUS FRE,36.03,360
OZ,12.3,12
TOTAL WEIGHT,61.0,12
LB SAUSAGE CHUB BREAKFAST MIL,73.26,44
Z BEEFPHILLY STEAK RIBEYE,47.65,285
CHICKEN BRST FILLET CRISPY,57.26,171
LB,90.65,362
I,18.74,15
BEEF RBEYECF ON DOWNCH,63.53,54
WETGHI,12.41,127
ADVANC BEESIEAK FRT TEr C,50.98,917
SAUSAGE ANDUUILLE ROPLSIY,35.54,71
OAL,30.3,3
CHCAAN HACT WUG,47.38,47
OLB CHICKEN BREAST BUZBOTTERI,88.04,440
LB SAOSAGE CAOB BREAKFAST MIL,36.63,79
ANGUS FRE,36.03,360
OZ,12.3,12
TOTAL WEIGHT,61.0,12
LB SAUSAGE CHUB BREAKFAST MIL,73.26,44
Z BEEFPHILLY STEAK RIBEYE,47.65,285
CHICKEN BRST FILLET CRISPY,57.26,171
LB,90.65,362
I,18.74,15
BEEF RBEYECF ON DOWNCH,63.53,54
WETGHI,12.41,127
ADVANC BEESIEAK FRT TEr C,50.98,917
SAUSAGE ANDUUILLE ROPLSIY,35.54,71
OAL,30.3,3
CHCAAN HACT WUG,47.38,47
OLB CHICKEN BREAST BUZBOTTERI,88.04,440
p Hw,22.83,45
CONT FOAM ANGD TFC CARGE W,29.25,58
NAPKIN BEV,20.92,132
PREP-N-PRINT DUR,48.28,144
P HW,22.83,45
C,59.41,59
X EEIE,62.66,6
,63.04,20
p Hw,22.83,45
CONT FOAM ANGD TFC CARGE W,29.25,58
NAPKIN BEV,20.92,132
PREP-N-PRINT DUR,48.28,144
P HW,22.83,45
C,59.41,59
X EEIE,62.66,6
,63.04,20
) Tax based on,5.64,20
) Tax based on,5.64,20
Credlts,0.0,495
OOOM Container Deposits,0.0,568
MACHINE OPERATiON CLEANLINESS TEMPERATURES,30.0,10
GBYPASS MAKEUPIOVERFLOW OPERATINO PROCEDURES GENERAL RESULT,30.0,6
j SPRAY ARmS,50.0,5
Credits,0.0,495
Sales Tax,0.0,0
MACHINE OPERATION CLEANLINESS TEMPERATURES,30.0,10
OVERFLOWOPERATING PROCEDURES GENERAL RESULI,30.0,521
SQUEEZE TUBES,30.0,5
jSPRAYARMS,50.0,5
Credlts,0.0,495
OOOM Container Deposits,0.0,568
MACHINE OPERATiON CLEANLINESS TEMPERATURES,30.0,10
GBYPASS MAKEUPIOVERFLOW OPERATINO PROCEDURES GENERAL RESULT,30.0,6
j SPRAY ARmS,50.0,5
Credits,0.0,495
Sales Tax,0.0,0
MACHINE OPERATION CLEANLINESS TEMPERATURES,30.0,10
OVERFLOWOPERATING PROCEDURES GENERAL RESULI,30.0,521
SQUEEZE TUBES,30.0,5
jSPRAYARMS,50.0,5
LD PeACH SLICED TaF,24.35,483
LD PeACH SLICED TaF,24.35,483
LB CORN CUT SIMPLY SWEET,26.08,26
B FRENCH FRIES SS,37.94,569
BREAD FRENCH BAGUETTE,29.35,58
LB PORK SKIN RAW,67.01,67
OTAL,97.4,12
